family_id,subcategory,name,unit,pack_size,base_price,keywords
001,frutas,Manzana roja fresca,kg,1,6.50,manzana fruta lonchera
002,frutas,Banana plátano de seda,kg,1,4.00,banana banano platano fruta desayuno
003,frutas,Naranja de jugo,kg,1,4.50,naranja jugo citrico
004,frutas,Mandarina fresca,kg,1,5.00,mandarina fruta lonchera
005,frutas,Limón fresco,kg,0.5,3.00,limon ceviche limonada aderezo
006,frutas,Piña fresca,unidad,1,7.00,pina fruta jugo
007,frutas,Papaya fresca,kg,1,5.00,papaya fruta desayuno
008,frutas,Sandía fresca,kg,1,3.00,sandia fruta
009,frutas,Melón fresco,unidad,1,7.50,melon fruta
010,frutas,Fresas frescas,bandeja,1,8.00,fresa frutilla postre
011,frutas,Uvas sin semillas,kg,0.5,7.00,uva fruta tabla de quesos
012,frutas,Mango fresco,kg,1,6.00,mango fruta jugo
013,frutas,Pera fresca,kg,1,7.00,pera fruta lonchera
014,frutas,Palta aguacate,kg,0.5,6.00,palta aguacate guacamole
015,verduras,Tomate rojo,kg,1,4.50,tomate ensalada salsa
016,verduras,Cebolla roja,kg,1,3.50,cebolla aderezo ensalada
017,verduras,Cebolla blanca,kg,1,3.50,cebolla sofrito
018,verduras,Ajo entero,malla,1,3.00,ajo aderezo sazon
019,verduras,Zanahoria fresca,kg,1,3.00,zanahoria sopa ensalada
020,verduras,Papa blanca,kg,1,3.00,papa patata pure guarnicion
021,verduras,Papa amarilla,kg,1,4.50,papa pure causa
022,verduras,Camote batata,kg,1,3.50,camote batata guarnicion
023,verduras,Yuca fresca,kg,1,4.00,yuca guarnicion asado
024,verduras,Lechuga fresca,unidad,1,2.50,lechuga ensalada hamburguesa
025,verduras,Pepino fresco,unidad,1,2.00,pepino ensalada
026,verduras,Pimiento rojo,unidad,1,2.50,pimiento morron parrilla
027,verduras,Brócoli fresco,unidad,1,4.50,brocoli verdura guarnicion
028,verduras,Coliflor fresca,unidad,1,5.00,coliflor verdura
029,verduras,Espinaca fresca,bolsa,1,3.00,espinaca verdura tortilla
030,verduras,Zapallo calabaza,kg,1,3.50,zapallo calabaza crema sopa
031,verduras,Zapallito zucchini,kg,0.5,3.00,zapallito zucchini calabacin parrilla
032,verduras,Choclo maíz tierno,paquete,2,4.00,choclo maiz guarnicion parrilla
033,verduras,Champiñones frescos,bandeja,1,6.50,champinones hongos salsa parrilla
034,verduras,Culantro cilantro fresco,manojo,1,1.50,culantro cilantro hierbas
035,verduras,Perejil fresco,manojo,1,1.50,perejil chimichurri hierbas
036,verduras,Apio fresco,manojo,1,2.50,apio sopa caldo
037,verduras,Ají amarillo fresco,kg,0.25,3.00,aji amarillo aderezo
038,aves,Pollo entero refrigerado,kg,2,22.00,pollo entero horno asado
039,aves,Pechuga de pollo fileteada,kg,1,19.00,pechuga pollo filete plancha
040,aves,Muslos de pollo,kg,1,13.00,muslo pollo guiso horno
041,aves,Alitas de pollo,kg,1,15.00,alitas pollo barbacoa bbq
042,aves,Pavo entero congelado,kg,5,105.00,pavo navidad cena fiesta horno
043,aves,Pechuga de pavo,kg,1,29.00,pechuga pavo horno
044,res,Bistec de res,kg,1,30.00,bistec res carne plancha
045,res,Carne molida de res,kg,0.5,14.00,carne molida hamburguesa albondigas lasana
046,res,Costilla de res para asado,kg,1,32.00,costilla res asado parrilla
047,res,Picaña de res para parrilla,kg,1,48.00,picana picanha res asado parrilla
048,res,Lomo fino de res,kg,1,60.00,lomo fino solomillo res cena especial
049,res,Carne de res para estofado,kg,1,27.00,res carne estofado guiso
050,res,Asado de tira de res,kg,1,38.00,asado tira res parrilla
051,res,Hamburguesas de res paquete x4,paquete,4,18.00,hamburguesa res parrilla
052,cerdo,Chuleta de cerdo,kg,1,22.00,chuleta cerdo parrilla
053,cerdo,Costillas de cerdo,kg,1,28.00,costilla cerdo bbq asado
